window_index,window_start_minute,record_count,record_id,text
1,2025-01-01T00:00:00+00:00,44,[record1],"daily smart money summary:

- $poly: $36k from 8 wallets
- $aixbt: $53k from 13 wallets
- $luna: $42k from 16 wallets
- $game: $24k from 3 wallets
- $vader: $69k from 17 wallets

smart money net capital flowing across tokens. nfa."
1,2025-01-01T00:00:00+00:00,44,[record2],"ai-agent token index update:
current index return: +8.96% last 24-hours
featured tokens: $realis (+65.01%), $bully (+60.66%), $kween (-32.45%), $henlo (-26.15%)"
1,2025-01-01T00:00:00+00:00,44,[record3],Arab Watches a Taliban TRAINING CLASS 🇦🇫 https://t.co/gLHnMBYVjr
1,2025-01-01T00:00:00+00:00,44,[record4],🎉 Happy New Year! To a Morphing 2025! 💚 https://t.co/0v8bl5OSB5
1,2025-01-01T00:00:00+00:00,44,[record5],"Happy New Year from the Galaxis team! 🥳🙌

Today, we celebrate the successes of 2024 and look forward to an even brighter future.  

Here's to a year of growth and innovation ahead towards 2025! https://t.co/5rqHjzoM7c"
1,2025-01-01T00:00:00+00:00,44,[record6],"Happy New Year, $OPUL Fam! 🎉

We’re locked and loaded with new partners, incredible artists, and a groundbreaking AI platform launching with new features this January.

2025 is the year of Opulous AI! 🔥 https://t.co/2Y8yVhy8t7"
1,2025-01-01T00:00:00+00:00,44,[record7],"2025: Bigger. Faster. Limitless. 💥

Happy New Year from FomoSwap—let’s make it unforgettable! https://t.co/5FbAAWzMdI"
1,2025-01-01T00:00:00+00:00,44,[record8],2025 is 0% complete. https://t.co/ViSf3SpTPR
1,2025-01-01T00:00:00+00:00,44,[record9],"HAPPY NEW YEAR, FRENS ✨👻✨

May your airdrops be heavy and your candles be green! 

2025 LFG 💙 https://t.co/MHKZl6ZeHC"
1,2025-01-01T00:00:00+00:00,44,[record10],"🎩将头发梳成大人模样，穿上一身帅气西装。

Happy Morphing New Year！🎆
🐨💚  2025，我们蓄势待发，用更强的姿态迎接新挑战！ https://t.co/ovpcRQezV3"
1,2025-01-01T00:00:00+00:00,44,[record11],"The whole Bloom team wishes you a Happy New Year! 🥂

Let's celebrate 2024's wins and gear up for an even better 2025. We've got big plans and major updates coming in early January 🎯

Thank you for the support! 🥰 https://t.co/lPPvIShHkl"
1,2025-01-01T00:00:00+00:00,44,[record12],"Huge respect to the @gasdotzip team.

I was looking for a way to get gas on the @HashKeyHSK L2 and they shipped even on New Year's Eve."
1,2025-01-01T00:00:00+00:00,44,[record13],"wow what a year

goals I achieved:

  - working for degods (crazy asf)
  - creating merch &amp; watches 
  - 3x family holidays (all paid by me 😈) 
  - crypto port over $350k
  - creating cool shit
  - travelled to 9 different countries
  - forged new friendships

2025 - we go even https://t.co/5s0ynJ3mL1"
1,2025-01-01T00:00:00+00:00,44,[record14],"Happy New Year!

We’re thrilled to share that CAC S3 concluded on December 31st, and airdrop rewards will soon follow.

Details on distribution and the S3 “Robin Hood Rule” are coming soon—stay tuned!

Here’s to a fantastic year ahead! https://t.co/8JGeSywjfx"
1,2025-01-01T00:00:00+00:00,44,[record15],"00:00 UTC. January 1. 2025.

Lewis Hamilton is a Scuderia Ferrari driver."
1,2025-01-01T00:00:00+00:00,44,[record16],"Introducing the @Seraph_global Foundation!

Where Gaming, Blockchain, and AI collide to shape the future of Web3 gaming.

Brace yourself as the TGE is coming very soon! ⚔️ https://t.co/PgQT503Gel"
1,2025-01-01T00:00:00+00:00,44,[record17],"🎉✨ Cheers to 2025 with Thetan World! ✨🎉

As we say goodbye to an incredible year, we’re thrilled to welcome a new chapter filled with endless possibilities! 🌟

Get ready for BIGGER adventures, EXCITING developments, and even MORE surprises waiting for you in Thetan World https://t.co/qqFz2LYKsf"
1,2025-01-01T00:00:00+00:00,44,[record18],"🥂 Cheers to a fresh start in 2025! ✨

May this new year bring you immense joy, remarkable success, and unforgettable memories. 🎊

Happy New Year from your friends at f2pool! 🎉 https://t.co/tpbdCdUfT1"
1,2025-01-01T00:00:00+00:00,44,[record19],happy 2015 everyone!!!
1,2025-01-01T00:00:00+00:00,44,[record20],"Happy New Year 🥂

2024 has been a pivotal year for SuiNS, let's keep building Sui's decentralized naming infrastructure in 2025

🌉⛓️🤝🗳💰🔜 https://t.co/dsBXlPxiXE"
1,2025-01-01T00:00:00+00:00,44,[record21],gm and Happy Solana Year 2025 🌅🎍 https://t.co/DcaiGdWEAo
1,2025-01-01T00:00:00+00:00,44,[record22],"🎉Happy New Year Fremen!🎆As we welcome 2025, let’s celebrate together!

Join us on Galxe for a celebration filled with fun and community spirit! Complete exciting quests and claim your exclusive #OAT🎁

🏆Join us on @GalxeQuest: https://t.co/UZShmuk3G2
📅Jan 1 – Jan 10, 2025 https://t.co/olq8tqPalt"
1,2025-01-01T00:00:00+00:00,44,[record23],Wishing you all a New Year full of new adventures! https://t.co/QEH7jUVORr
1,2025-01-01T00:00:00+00:00,44,[record24],"✨2️⃣0️⃣2️⃣5️⃣✨

Happy New Year from all of us at Treehouse! 🌳

Here's to another year of innovation, growth, and building a stronger decentralized future together 🚀

https://t.co/SC5srbfA6p https://t.co/H1xFPxLIUg"
1,2025-01-01T00:00:00+00:00,44,[record25],"🎆 The Pawliday Greetings Contest submissions are closed!

Our incredible community turned out with their talents + creativity. 🥂 We'll be reviewing submissions and determining winners (no easy task when we've got such amazing entries!)

Stay tuned for the winners! 🎶"
1,2025-01-01T00:00:00+00:00,44,[record26],"Happy ZIG Year

As we step into 2025, we’re not just aiming for a better year — we’re gearing up to redefine the future of finance!

This is the year ZIGChain will unite developers, wealth managers, and investors to create something extraordinary never seen before in web3 

 2025 https://t.co/1V0HiJn7RQ"
1,2025-01-01T00:00:00+00:00,44,[record27],"🚀 Ecosystem Roundup — December 2024

Strong $stBTC growth, landmark Sui ecosystem alliances, and major community upgrades.

https://t.co/eTOwNBGaY1 https://t.co/ESCTC7uPZz"
